No. of voting,Title,Subscript,Link,voting_id,Session,Dates
72,Ustawa budżetowa na rok 2013,Poprawka 72,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,921.html",921,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
73,Ustawa budżetowa na rok 2013,Poprawka 73,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,922.html",922,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
74,Ustawa budżetowa na rok 2013,Poprawka 74,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,923.html",923,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
75,Ustawa budżetowa na rok 2013,Poprawka 75,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,920.html",920,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
76,Ustawa budżetowa na rok 2013,Poprawka 76,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,925.html",925,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
77,Ustawa budżetowa na rok 2013,Poprawka 77,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,926.html",926,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
78,Ustawa budżetowa na rok 2013,Poprawka 78,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,927.html",927,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
79,Ustawa budżetowa na rok 2013,Poprawka 79,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,928.html",928,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
80,Ustawa budżetowa na rok 2013,Poprawka 80,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,924.html",924,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
81,Ustawa budżetowa na rok 2013,Poprawka 81,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,930.html",930,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
82,Ustawa budżetowa na rok 2013,Poprawka 82,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,931.html",931,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
83,Ustawa budżetowa na rok 2013,Poprawka 83,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,932.html",932,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
84,Ustawa budżetowa na rok 2013,Poprawka 84,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,933.html",933,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
85,Ustawa budżetowa na rok 2013,Poprawka 85,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,934.html",934,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
86,Ustawa budżetowa na rok 2013,Poprawka 86,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,935.html",935,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
87,Ustawa budżetowa na rok 2013,Poprawka 87,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,936.html",936,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
88,Ustawa budżetowa na rok 2013,Poprawka 88,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,937.html",937,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
89,Ustawa budżetowa na rok 2013,Poprawka 89,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,938.html",938,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
90,Ustawa budżetowa na rok 2013,Poprawka 90,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,929.html",929,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
91,Ustawa budżetowa na rok 2013,Poprawka 91,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,940.html",940,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
92,Ustawa budżetowa na rok 2013,Poprawka 92,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,941.html",941,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
93,Ustawa budżetowa na rok 2013,Poprawka 93,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,942.html",942,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
94,Ustawa budżetowa na rok 2013,Poprawka 94,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,943.html",943,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
95,Ustawa budżetowa na rok 2013,Poprawka 95,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,939.html",939,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
96,Ustawa budżetowa na rok 2013,Poprawka 96,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,944.html",944,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
97,Ustawa budżetowa na rok 2013,Poprawka 97,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,945.html",945,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
98,Ustawa budżetowa na rok 2013,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,946.html",946,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 1 dzień",8 i 9 stycznia 2013 r.
99,Ustawa o zmianie ustawy o pracownikach samorządowych oraz niektórych innych ustaw,"Poprawka 1, 4","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,951.html",951,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
100,Ustawa o zmianie ustawy o pracownikach samorządowych oraz niektórych innych ustaw,"Poprawka 2, 5","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,952.html",952,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
101,Ustawa o zmianie ustawy o pracownikach samorządowych oraz niektórych innych ustaw,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,953.html",953,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
102,Ustawa o zmianie ustawy o pracownikach samorządowych oraz niektórych innych ustaw,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,954.html",954,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
103,Ustawa o zmianie ustawy o referendum lokalnym oraz ustawy o samorządzie gminnym,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,955.html",955,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
104,Ustawa o zmianie ustawy o gospodarowaniu nieruchomościami rolnymi Skarbu Państwa,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,956.html",956,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
105,Ustawa o zmianie ustawy o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych oraz ustawy o wspieraniu rodziny i systemie pieczy zastępczej,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,957.html",957,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
106,Ustawa o zmianie ustawy o wychowaniu w trzeźwości i przeciwdziałaniu alkoholizmowi,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,958.html",958,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
107,Ustawa o zmianie ustawy o kierujących pojazdami,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,950.html",950,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
108,Drugie czytanie projektu ustawy o zmianie ustawy o spółdzielniach mieszkaniowych,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,960.html",960,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
109,"Drugie czytanie projektu opinii o niezgodności z zasadą pomocniczości projektu dyrektywy Parlamentu Europejskiego i Rady w sprawie poprawy równowagi płci wśród dyrektorów niewykonawczych spółek, których akcje są notowane na giełdzie i odnośnych środków COM(2012)614",Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,959.html",959,"Posiedzenie: 25. posiedzenie Senatu RP VIII kadencji, 2 dzień",8 i 9 stycznia 2013 r.
1,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,962.html",962,"Posiedzenie: 26. posiedzenie Senatu RP VIII kadencji, 1 dzień",30 stycznia 2013 r.
2,Ustawa o zmianie ustawy o utrzymaniu czystości i porządku w gminach,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,963.html",963,"Posiedzenie: 26. posiedzenie Senatu RP VIII kadencji, 1 dzień",30 stycznia 2013 r.
3,Ustawa o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,964.html",964,"Posiedzenie: 26. posiedzenie Senatu RP VIII kadencji, 1 dzień",30 stycznia 2013 r.
4,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Grenadą o wymianie informacji w sprawach podatkowych, podpisanej w Nowym Jorku dnia 19 lipca 2012 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,965.html",965,"Posiedzenie: 26. posiedzenie Senatu RP VIII kadencji, 1 dzień",30 stycznia 2013 r.
5,Ustawa o zmianie ustawy o poręczeniach i gwarancjach udzielanych przez Skarb Państwa oraz niektóre osoby prawne,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,961.html",961,"Posiedzenie: 26. posiedzenie Senatu RP VIII kadencji, 1 dzień",30 stycznia 2013 r.
1,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,966.html",966,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 1 dzień",20 i 21 lutego 2013 r.
2,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,968.html",968,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
3,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,967.html",967,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
4,Zmiany w składzie komisji senackich.,Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,970.html",970,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
5,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,971.html",971,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
6,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,972.html",972,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
7,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,973.html",973,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
8,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,969.html",969,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
9,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 5,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,975.html",975,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
10,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 6,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,976.html",976,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
11,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 7,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,977.html",977,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
12,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 8,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,978.html",978,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
13,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 9,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,979.html",979,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
14,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 10,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,980.html",980,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
15,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 11,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,981.html",981,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
16,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 12,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,982.html",982,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
17,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 13,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,983.html",983,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
18,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 14,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,984.html",984,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
19,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Poprawka 15,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,985.html",985,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
20,Ustawa o zmianie ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych oraz niektórych innych ustaw,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,986.html",986,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
21,Ustawa o środkach ochrony roślin,"Poprawka 1, 2, 4","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,987.html",987,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
22,Ustawa o środkach ochrony roślin,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,988.html",988,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
23,Ustawa o środkach ochrony roślin,"Poprawka 5, 7","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,989.html",989,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
24,Ustawa o środkach ochrony roślin,Poprawka 6,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,990.html",990,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
25,Ustawa o środkach ochrony roślin,"Poprawka 8, 28","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,991.html",991,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
26,Ustawa o środkach ochrony roślin,Poprawka 9,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,992.html",992,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
27,Ustawa o środkach ochrony roślin,Poprawka 10,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,993.html",993,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
28,Ustawa o środkach ochrony roślin,Poprawka 11,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,994.html",994,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
29,Ustawa o środkach ochrony roślin,Poprawka 12,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,995.html",995,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
30,Ustawa o środkach ochrony roślin,"Poprawka 13, 27, 30, 31","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,996.html",996,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
31,Ustawa o środkach ochrony roślin,Poprawka 14,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,997.html",997,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
32,Ustawa o środkach ochrony roślin,Poprawka 15,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,998.html",998,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
33,Ustawa o środkach ochrony roślin,"Poprawka 16, 20, 33","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,999.html",999,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
34,Ustawa o środkach ochrony roślin,Poprawka 17,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1000.html",1000,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
35,Ustawa o środkach ochrony roślin,Poprawka 18,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1001.html",1001,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
36,Ustawa o środkach ochrony roślin,Poprawka 19,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1002.html",1002,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
37,Ustawa o środkach ochrony roślin,"Poprawka 21, 34","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1003.html",1003,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
38,Ustawa o środkach ochrony roślin,Poprawka 22,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,974.html",974,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
39,Ustawa o środkach ochrony roślin,"Poprawka 23, 24","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1005.html",1005,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
40,Ustawa o środkach ochrony roślin,Poprawka 25,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1006.html",1006,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
41,Ustawa o środkach ochrony roślin,Poprawka 26,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1007.html",1007,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
42,Ustawa o środkach ochrony roślin,Poprawka 29,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1008.html",1008,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
43,Ustawa o środkach ochrony roślin,Poprawka 32,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1009.html",1009,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
44,Ustawa o środkach ochrony roślin,Poprawka 35,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1010.html",1010,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
45,Ustawa o środkach ochrony roślin,Poprawka 36,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1011.html",1011,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
46,Ustawa o środkach ochrony roślin,"Poprawka 37, 38","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1012.html",1012,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
47,Ustawa o środkach ochrony roślin,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1013.html",1013,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
48,Drugie czytanie projektu ustawy o zmianie ustawy o systemie ubezpieczeń społecznych oraz niektórych innych ustaw,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1004.html",1004,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
49,Ustawa o zmianie ustawy o płatnościach w ramach systemów wsparcia bezpośredniego,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1015.html",1015,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
50,Ustawa o zmianie ustawy - Prawo upadłościowe i naprawcze,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1016.html",1016,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
51,Ustawa o zmianie ustawy o planowaniu i zagospodarowaniu przestrzennym,Poprawka,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1017.html",1017,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
52,Ustawa o zmianie ustawy o planowaniu i zagospodarowaniu przestrzennym,Przyjęcie ustawy wraz z poprawką,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1018.html",1018,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
53,Drugie czytanie projektu ustawy o zmianie ustawy o uprawnieniach do ulgowych przejazdów środkami publicznego transportu zbiorowego,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,1014.html",1014,"Posiedzenie: 27. posiedzenie Senatu RP VIII kadencji, 2 dzień",20 i 21 lutego 2013 r.
