No. of voting,Title,Subscript,Link,voting_id,Session,Dates
20,Drugie czytanie projektu uchwały w 30. rocznicę wprowadzenia stanu wojennego,Przyjęcie projektu wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,21.html",21,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień","20, 21 i 22 grudnia 2011 r."
21,Zmiany w składzie komisji senackich,Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,14.html",14,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 2 dzień","20, 21 i 22 grudnia 2011 r."
22,Ustawa o zmianie ustawy o systemie ubezpieczeń społecznych,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,23.html",23,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 3 dzień","20, 21 i 22 grudnia 2011 r."
23,Ustawa o zmianie ustawy o systemie ubezpieczeń społecznych,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,22.html",22,"Posiedzenie: 3. posiedzenie Senatu RP VIII kadencji, 3 dzień","20, 21 i 22 grudnia 2011 r."
1,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,26.html",26,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
2,Ustawa o składkach na ubezpieczenie zdrowotne rolników za 2012 r.,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,28.html",28,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
3,Ustawa o składkach na ubezpieczenie zdrowotne rolników za 2012 r.,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,29.html",29,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
4,"Ustawa o zmianie ustawy o refundacji leków, środków spożywczych specjalnego przeznaczenia żywieniowego oraz wyrobów medycznych oraz niektórych innych ustaw",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,30.html",30,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
5,Ustawa o zmianie ustawy o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych oraz niektórych innych ustaw,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,31.html",31,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
6,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze",Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,32.html",32,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
7,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze","Poprawka 2, 4","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,33.html",33,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
8,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze",Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,34.html",34,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
9,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze",Poprawka 5,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,35.html",35,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
